1,"A: Hi, I ___ Bruno Russell. 
B: Nice to meet you, Bruno.
",re,m,d,s,m
2,"A: Nicole, this is Paul Foster. He ___ my friend.
B: Hi, Paul. Nice to meet you.
",m,d,s,re,s
3,"A: Are you and James tennis players?
B: No. We ___ soccer players.
",is,are,am,be,are
4,"A: Are Sue and Kathy nurses?
B: No. They ___ doctors.
",are,am,be,is,are
5,"A: ___ Sophia a good lawyer?
B: Absolutely.
",Are,Be,Is,Am,Is
6,"A: ___you a university student?
B: Yes, Madam. 
",Is,Are,Am,Be,Are
7,"A: ___ Lionel Messi from Argentina?
B: Yes, that's right.
",Are,Am,Is,Be,Is
8,"A: ___ Frank  and Mike tall?
B: Yes, very tall. 
",Is,Are,Am,   Be,Are
9,"A: Is Daniel Radcliffe ___actor?
B: Yes, he's very good. 
",an,any,a,one,an
10,"A: Is Alanna ___ model?
B: Yes, she's very pretty.
",one,any,an,a,a
11,"A: Is that __  Tablet?
B: That's right. 
",a,and,any,an,a
12,This is __ important email address.,a,any,and,an,an
13,Jonathan ___married. He's single.,aren't,not be,isn't,not,isn't
14,I ___ Nathaniel Harris. My name is Nathan Morris.,isn't,m not,not,aren't,m not
15,Shania Twain ___ from Arabia. She's Canadian. ,aren't,not be,not, isn't, isn't
16,Albert and Jim ___ in class today. They're absent. ,not be,isn't,aren't,not,aren't
17,"A: ___ is your favorite painter?
B: Pablo Picasso
",Where,When,Who,What,Who
18,"A: ___ is this, Dad?
B: It's a videocamera. 
",Which,What,When,Who,What
19,"A: ___'s Emma Watson from?
B: From England.
",What,When,Who,Where,Where
20,"A: ___ is your birthday?
B: On July 7th.
",When,Where,What,How,When
21,"A: Where ___ Brian from?
B: New York.
",is,am,be,are,is
22,"A: Where ___ John and Steve from?
B: Australia
",is,am,are,be,are
23,How old ___ Jackie Chong?,are,is,am,be,is
24,How old ___ Tom and Sylvie Soderling?,is,are,am,be,are
25,"I'm Rupert Kipling. I'm from Canada, but ___ family is from
France.
",your,his,my,mine,my
26,"Harold's from Scotland, and ___ wife is from Germany.",my,its,his,her,his
27,Those  students are from France. ___ names are Édith  and Dennise.,Their,Her,Its,Our,Their
28,"A: Helen, please turn off ___ mobile phone.
B: Yes. I'm sorry.
",her,my,his,your,your
29,Natalie is my mother and Frank  is my father. They are my ___.,grandparents,parents,children,cousins,parents
30,"A: Mrs. Chong has two daughters: Pam and Marianne.
B: I see. Marianne is Pam's ___.
",sister,brother,son,daughter,sister
31,"A: What time ___ ?
B: 9:30
",is it,its,it's,is,is it
32,We are very late for class! ___ 7:25.,Is it,It's,Is,It,It's
33,___ a pizza  on the table. ,Is,They are,There is,There are,There is
34,"___ two bottles of orange juice in the refrigerator, Mike?",There are,Is there,Are there,Is,Are there
35,___ good restaurants  near your home?,There is,There are,Is there,Are there,Are there
36,___ a chocolate cake in your office. Happy Birthday!,There is,They are,There are,Is,There is
37,I ___ to the gym every day.,goes,to go,going,go,go
38,"A: Congratulations. You ___ very well.
B: Thank you.
",dances,dancing,dance,to dance,dance
39,Joe really ___ Japanese restaurants.,like,to like,'s likes,likes,likes
40,My aunt Kim and her family ___ in Europe.,re live,to live,live,lives,live
41,My sister ___ at Galo's restaurant every day.,s eat,eat,eats,to eat,eats
42,I ___ have a car.,don't,am not,not,no,don't
43,Cindy ___ love dogs.,isn't,don't,doesn't,not,doesn't
44,Michael and Linda are Biology students. They ___study Medicine.,not,aren't,don't,no,don't
45,Jessica ___ like soccer.,doesn't,don't,not,isn't,doesn't
46,___ you have friends in Canada?,Does,Are,Do,Is,Do
47,"A:___ your parents ___videogames with you?
B: Sometimes.
",Do...plays,Do...play,Does...plays,Does...play,Do...play
48,___ your father ___ from 9 to 5 every day?,Do...work,Does...works,Does...work,Do...works,Does...work
49,"A: When ___ Mr. Langfold ___ French?
B: Mondays and Thursdays.
",do ... teaches,does ... teach,does ... teaches,do ... teach,does...teach
50,"A: I can't go to the park now. I ___ my homework.
B: Ok, no problem.
",does ... take,does ... takes,do ... take,do ... takes,does ... take
51,"A: I can't go to the park now. I ___ my homework.
B: Ok, no problem.
",can do,do,am doing,doing,am doing
